Age Range,Industry,Job Title,Annual Salary,Additional Monetary Compensation,Currency,Country,State,City,Years of Professional Experience Overall,Years of Professional Experience in Field,Highest Level of Education Completed,Gender
55-64,Utilities & Telecommunications,Lead Technical Training Consultant,120000,15000,USD,United States,Kansas,Burlington,21 - 30 years,8 - 10 years,Master's degree,Woman
55-64,Insurance,Contract manager,138000,15000,USD,United States,Pennsylvania,Philadelphia,31 - 40 years,21 - 30 years,Master's degree,Woman
25-34,Education (Higher Education),Assistant director of finance ,53000,0,USD,United states,Ohio,Cleveland ,8 - 10 years,5-7 years,Master's degree,Woman
35-44,Property or Construction,Office assistant,34320,1000,USD,United States,Florida,St. Petersburg,11 - 20 years,2 - 4 years,College degree,Woman
35-44,Hospitality & Events,Assistant General manager ,48080,10000,USD,United states,Oregon,Eugene,11 - 20 years,8 - 10 years,High School,Woman
45-54,Nonprofits,Grants Accountant,51500,0,USD,United States,Missouri,Kansas City,21 - 30 years,11 - 20 years,Master's degree,Woman
25-34,Health care,Associate Finance Manager,100000,10000,USD,United States,California,San Diego,8 - 10 years,8 - 10 years,Master's degree,Woman
45-54,Health care,Dental hygienist ,72000,500,USD,United States,Utah,St. George,31 - 40 years,31 - 40 years,College degree,Woman
35-44,Education (Higher Education),Executive Director,146015,0,USD,United States,Texas,Lubbock,8 - 10 years,8 - 10 years,PhD,Woman
25-34,Retail,Tax Analyst - Income & Property,87500,4000,USD,United States,Connecticut,Shelton,5-7 years,2 - 4 years,College degree,Woman
25-34,Government and Public Administration,Policy Analyst,79000,0,CAD,Canada,Unknown,Ottawa,8 - 10 years,5-7 years,Master's degree,Woman
25-34,Retail,General Manager,80000,3000,USD,United States,New York,Rochester,11 - 20 years,11 - 20 years,College degree,Woman
35-44,Social Work,Clinical Lead,73500,0,USD,United States,Ohio,Columbus,11 - 20 years,8 - 10 years,Master's degree,Woman
55-64,Computing or Tech,Implementation Specialist ,62000,5000,USD,United States,Georgia,Augusta ,31 - 40 years,8 - 10 years,Some college,Woman
35-44,Computing or Tech,Corporate Trainer,53000,1800,USD,United States,Georgia,Duluth,11 - 20 years,2 - 4 years,Master's degree,Woman
45-54,Media & Digital,Photographer/graphic designer,52500,0,USD,United States,North Carolina,Greenville,21 - 30 years,21 - 30 years,College degree,Woman
